Method,Order,Puzzle_length,Solution_length,Visited_states,Calculated_states,Max_deep,Calculating_time 
bfs,RDUL,6,6,167,349,6,4.986
bfs,ULDR,6,6,149,310,6,4.42
bfs,ULRD,6,6,142,297,6,4.244
dfs,DRLU,6,18,138825,138839,20,2021.964
dfs,DRUL,6,20,134,152,20,2.092
dfs,LUDR,6,20,107378,107390,20,1588.799
dfs,LURD,6,20,115014,115030,20,1682.997
dfs,RDLU,6,18,111935,111951,20,1638.312
dfs,RDUL,6,20,123,142,20,2.095
dfs,ULDR,6,20,78880,78892,20,1169.685
dfs,ULRD,6,20,65,80,20,1.126
astr,hamm,6,6,7,14,6,0.317
astr,manh,6,6,7,14,6,0.559
bfs,DRLU,6,6,170,349,6,4.911
bfs,DRUL,6,6,170,349,6,4.96
bfs,LUDR,6,6,181,375,6,5.296
bfs,LURD,6,6,129,272,6,3.948
bfs,RDLU,6,6,118,246,6,3.657
bfs,RDUL,6,6,118,246,6,3.573
bfs,ULDR,6,6,181,375,6,5.292
bfs,ULRD,6,6,129,272,6,3.937
dfs,DRLU,6,20,1229509,1229523,20,18319.32
dfs,DRUL,6,20,1222119,1222133,20,18213.2
dfs,LUDR,6,20,475075,475090,20,7060.951
dfs,LURD,6,20,139370,139381,20,2014.566
dfs,RDLU,6,20,21863,21878,20,302.814
dfs,RDUL,6,20,2676,2693,20,39.0
dfs,ULDR,6,20,598403,598415,20,8904.564
dfs,ULRD,6,20,36953,36967,20,518.135
astr,hamm,6,6,7,15,6,0.333
astr,manh,6,6,7,15,6,0.603
bfs,DRLU,6,6,235,493,6,6.803
bfs,DRUL,6,6,235,493,6,6.837
bfs,LUDR,6,6,166,348,6,4.922
bfs,LURD,6,6,146,310,6,4.461
bfs,RDLU,6,6,215,455,6,6.327
bfs,RDUL,6,6,215,455,6,6.312
bfs,ULDR,6,6,166,348,6,4.905
bfs,ULRD,6,6,146,310,6,4.416
dfs,DRLU,6,20,112264,112281,20,1634.394
dfs,DRUL,6,20,49048,49067,20,705.403
dfs,LUDR,6,16,358860,358868,20,5266.665
dfs,LURD,6,16,536,549,20,7.616
dfs,RDLU,6,18,99157,99171,20,1463.916
dfs,RDUL,6,18,12061,12077,20,178.247
dfs,ULDR,6,16,358860,358868,20,5353.366
dfs,ULRD,6,16,536,549,20,7.65
astr,hamm,6,6,7,14,6,0.315
astr,manh,6,6,7,14,6,0.565
bfs,DRLU,6,6,138,284,6,4.079
bfs,DRUL,6,6,138,284,6,4.064
bfs,LUDR,6,6,149,310,6,4.435
bfs,LURD,6,6,161,337,6,4.795
bfs,RDLU,6,6,150,311,6,4.477
bfs,RDUL,6,6,150,311,6,4.473
bfs,ULDR,6,6,149,310,6,4.435
bfs,ULRD,6,6,161,337,6,4.797
dfs,DRLU,6,20,270420,270432,20,4038.57
dfs,DRUL,6,20,372837,372846,20,5457.076
dfs,LUDR,6,20,36988,37000,20,517.539
dfs,LURD,6,20,598368,598382,20,8884.946
dfs,RDLU,6,18,451717,451728,20,6724.902
dfs,RDUL,6,18,420435,420449,20,6287.702
dfs,ULDR,6,20,139405,139414,20,2062.286
dfs,ULRD,6,20,475040,475057,20,7161.691
astr,hamm,6,6,7,15,6,0.328
astr,manh,6,6,7,15,6,0.592
bfs,DRLU,6,6,235,493,6,6.803
bfs,DRUL,6,6,235,493,6,6.919
bfs,LUDR,6,6,166,348,6,4.965
bfs,LURD,6,6,146,310,6,4.426
bfs,RDLU,6,6,215,455,6,6.308
bfs,RDUL,6,6,215,455,6,6.31
bfs,ULDR,6,6,166,348,6,4.91
bfs,ULRD,6,6,146,310,6,4.449
dfs,DRLU,6,18,1226915,1226926,20,18144.708
dfs,DRUL,6,20,1285523,1285540,20,19046.481
dfs,LUDR,6,16,1255,1266,20,17.041
dfs,LURD,6,18,222590,222602,20,3267.06
dfs,RDLU,6,20,118300,118319,20,1723.336
dfs,RDUL,6,20,110605,110623,20,1601.616
dfs,ULDR,6,16,1255,1266,20,17.1
dfs,ULRD,6,18,207811,207825,20,3075.969
astr,hamm,6,6,7,16,6,0.351
astr,manh,6,6,7,16,6,0.623
bfs,DRLU,6,6,197,413,6,5.772
bfs,DRUL,6,6,197,413,6,5.96
bfs,LUDR,6,6,218,457,6,6.399
bfs,LURD,6,6,184,390,6,5.53
bfs,RDLU,6,6,163,346,6,4.88
bfs,RDUL,6,6,163,346,6,4.892
bfs,ULDR,6,6,218,457,6,6.37
bfs,ULRD,6,6,184,390,6,5.495
dfs,DRLU,6,20,1023685,1023703,20,15139.703
dfs,DRUL,6,20,1078857,1078873,20,15815.03
dfs,LUDR,6,20,215,230,20,3.541
dfs,LURD,6,20,222757,222770,20,3292.618
dfs,RDLU,6,20,78949,78968,20,1158.139
dfs,RDUL,6,20,213,235,20,3.577
dfs,ULDR,6,20,215,230,20,3.396
dfs,ULRD,6,20,207978,207993,20,3058.868
astr,hamm,6,6,7,17,6,0.363
astr,manh,6,6,7,17,6,0.649
bfs,DRLU,6,6,259,553,6,7.62
bfs,DRUL,6,6,299,642,6,9.091
bfs,LUDR,6,6,193,418,6,5.849
bfs,LURD,6,6,186,405,6,5.728
bfs,RDLU,6,6,252,540,6,7.47
bfs,RDUL,6,6,292,629,6,8.601
bfs,ULDR,6,6,233,507,6,7.007
bfs,ULRD,6,6,226,494,6,6.822
dfs,DRLU,6,18,610,628,20,8.648
dfs,DRUL,6,18,358575,358590,20,5263.293
dfs,LUDR,6,20,238445,238462,20,3476.123
dfs,LURD,6,20,257308,257327,20,3804.104
dfs,RDLU,6,18,358166,358182,20,5333.361
dfs,RDUL,6,18,921,940,20,13.229
dfs,ULDR,6,20,543840,543856,20,8094.005
dfs,ULRD,6,20,325849,325868,20,4809.85
astr,hamm,6,6,7,16,6,0.345
astr,manh,6,6,7,16,6,0.631
bfs,DRLU,6,6,241,505,6,6.967
bfs,DRUL,6,6,199,417,6,6.045
bfs,LUDR,6,6,189,399,6,5.609
bfs,LURD,6,6,182,386,6,5.541
bfs,RDLU,6,6,234,492,6,6.813
bfs,RDUL,6,6,192,404,6,5.662
bfs,ULDR,6,6,147,311,6,4.46
bfs,ULRD,6,6,140,298,6,4.267
dfs,DRLU,6,20,258,276,20,4.128
dfs,DRUL,6,20,357788,357805,20,5252.205
dfs,LUDR,6,20,528974,528986,20,7790.77
dfs,LURD,6,20,324100,324112,20,4773.559
dfs,RDLU,6,20,247,266,20,3.879
dfs,RDUL,6,20,357777,357795,20,5220.771
dfs,ULDR,6,18,79094,79106,20,1171.183
dfs,ULRD,6,18,128,145,20,2.053
astr,hamm,6,6,7,17,6,0.363
astr,manh,6,6,7,17,6,0.646
bfs,DRLU,6,6,181,394,6,5.83
bfs,DRUL,6,6,181,394,6,5.716
bfs,LUDR,6,6,264,564,6,7.754
bfs,LURD,6,6,304,653,6,8.923
bfs,RDLU,6,6,221,483,6,6.711
bfs,RDUL,6,6,221,483,6,6.713
bfs,ULDR,6,6,264,564,6,7.725
bfs,ULRD,6,6,304,653,6,8.984
dfs,DRLU,6,18,238202,238222,20,3503.427
dfs,DRUL,6,18,257148,257167,20,3805.43
dfs,LUDR,6,18,658,673,20,9.608
dfs,LURD,6,18,358623,358635,20,5250.712
dfs,RDLU,6,20,58986,59006,20,841.8
dfs,RDUL,6,20,144324,144345,20,2070.203
dfs,ULDR,6,20,284185,284198,20,4166.478
dfs,ULRD,6,18,1018,1033,20,14.449
astr,hamm,6,6,7,16,6,0.348
astr,manh,6,6,7,16,6,0.622
bfs,DRLU,6,6,177,375,6,5.595
bfs,DRUL,6,6,177,375,6,5.472
bfs,LUDR,6,6,246,516,6,7.128
bfs,LURD,6,6,204,428,6,6.07
bfs,RDLU,6,6,135,287,6,4.171
bfs,RDUL,6,6,135,287,6,4.127
bfs,ULDR,6,6,246,516,6,7.18
bfs,ULRD,6,6,204,428,6,6.011
dfs,DRLU,6,20,237067,237085,20,3451.334
dfs,DRUL,6,20,259620,259635,20,3830.422
dfs,LUDR,6,20,267,282,20,4.241
dfs,LURD,6,20,357797,357811,20,5239.894
dfs,RDLU,6,18,78997,79013,20,1158.768
dfs,RDUL,6,18,80,100,20,1.379
dfs,ULDR,6,20,267,282,20,4.073
dfs,ULRD,6,20,357797,357811,20,5296.049
astr,hamm,6,6,7,16,6,0.343
astr,manh,6,6,7,16,6,0.617
bfs,DRLU,6,6,206,433,6,6.305
bfs,DRUL,6,6,179,379,6,5.504
bfs,LUDR,6,6,202,424,6,5.974
bfs,LURD,6,6,202,424,6,5.989
bfs,RDLU,6,6,206,433,6,6.046
bfs,RDUL,6,6,179,379,6,5.305
bfs,ULDR,6,6,175,370,6,5.252
bfs,ULRD,6,6,175,370,6,5.214
dfs,DRLU,6,20,195,214,20,3.185
dfs,DRUL,6,20,357752,357769,20,5264.287
dfs,LUDR,6,20,458607,458620,20,6737.772
dfs,LURD,6,20,611246,611259,20,9153.035
dfs,RDLU,6,20,195,214,20,3.206
dfs,RDUL,6,20,357752,357769,20,5222.014
dfs,ULDR,6,20,78969,78984,20,1147.576
dfs,ULRD,6,20,233,251,20,3.664
astr,hamm,6,6,11,23,6,0.46
astr,manh,6,6,8,16,6,0.644
bfs,DRLU,6,6,154,324,6,4.736
bfs,DRUL,6,6,141,299,6,4.27
bfs,LUDR,6,6,240,504,6,6.965
bfs,LURD,6,6,240,504,6,7.045
bfs,RDLU,6,6,154,324,6,4.73
bfs,RDUL,6,6,141,299,6,4.26
bfs,ULDR,6,6,227,479,6,6.65
bfs,ULRD,6,6,227,479,6,6.657
dfs,DRLU,6,16,358392,358404,20,5252.538
dfs,DRUL,6,16,295,311,20,4.494
dfs,LUDR,6,20,99948,99963,20,1451.451
dfs,LURD,6,20,49057,49073,20,716.984
dfs,RDLU,6,16,358392,358404,20,5314.849
dfs,RDUL,6,16,295,311,20,4.466
dfs,ULDR,6,20,1228164,1228175,20,18181.289
dfs,ULRD,6,18,1226859,1226868,20,18197.104
astr,hamm,6,6,12,26,6,0.513
astr,manh,6,6,8,16,6,0.629
bfs,DRLU,6,6,169,351,6,5.103
bfs,DRUL,6,6,124,261,6,3.764
bfs,LUDR,6,6,175,360,6,5.1
bfs,LURD,6,6,175,360,6,5.149
bfs,RDLU,6,6,169,351,6,4.956
bfs,RDUL,6,6,124,261,6,3.767
bfs,ULDR,6,6,130,270,6,3.919
bfs,ULRD,6,6,130,270,6,3.89
dfs,DRLU,6,20,475055,475074,20,7115.303
dfs,DRUL,6,20,139195,139209,20,2064.555
dfs,LUDR,6,20,1281036,1281049,20,18914.437
dfs,LURD,6,20,1281354,1281366,20,19252.018
dfs,RDLU,6,20,598383,598399,20,8999.014
dfs,RDUL,6,20,36944,36961,20,515.64
dfs,ULDR,6,20,372726,372732,20,5458.877
dfs,ULRD,6,20,270405,270415,20,4019.418
astr,hamm,6,6,7,15,6,0.333
astr,manh,6,6,7,15,6,0.596
bfs,DRLU,6,6,154,324,6,4.745
bfs,DRUL,6,6,141,299,6,4.289
bfs,LUDR,6,6,240,504,6,6.995
bfs,LURD,6,6,240,504,6,6.956
bfs,RDLU,6,6,154,324,6,4.631
bfs,RDUL,6,6,141,299,6,4.285
bfs,ULDR,6,6,227,479,6,6.627
bfs,ULRD,6,6,227,479,6,6.684
dfs,DRLU,6,16,787,802,20,11.278
dfs,DRUL,6,20,357132,357148,20,5235.719
dfs,LUDR,6,20,458620,458633,20,6718.09
dfs,LURD,6,20,611262,611274,20,9067.119
dfs,RDLU,6,16,787,802,20,10.987
dfs,RDUL,6,20,357068,357086,20,5265.737
dfs,ULDR,6,20,118320,118335,20,1725.605
dfs,ULRD,6,20,110614,110629,20,1605.897
astr,hamm,6,6,8,16,6,0.354
astr,manh,6,6,7,14,6,0.57
bfs,DRLU,6,6,137,286,6,4.268
bfs,DRUL,6,6,156,326,6,4.809
bfs,LUDR,6,6,143,295,6,4.27
bfs,LURD,6,6,143,295,6,4.46
bfs,RDLU,6,6,137,286,6,4.099
bfs,RDUL,6,6,156,326,6,4.666
bfs,ULDR,6,6,162,335,6,4.744
bfs,ULRD,6,6,162,335,6,4.741
dfs,DRLU,6,20,25231,25246,20,360.646
dfs,DRUL,6,20,598359,598376,20,9017.583
dfs,LUDR,6,20,270429,270438,20,4001.804
dfs,LURD,6,18,295858,295869,20,4313.134
dfs,RDLU,6,18,55618,55633,20,798.842
dfs,RDUL,6,20,475031,475051,20,7043.851
dfs,ULDR,6,20,567669,567680,20,8319.109
dfs,ULRD,6,20,500386,500399,20,7484.029
astr,hamm,6,6,7,14,6,0.315
astr,manh,6,6,7,14,6,0.567
bfs,DRLU,6,6,184,379,6,5.509
bfs,DRUL,6,6,184,379,6,5.303
bfs,LUDR,6,6,195,401,6,5.616
bfs,LURD,6,6,115,242,6,3.689
bfs,RDLU,6,6,104,220,6,3.404
bfs,RDUL,6,6,104,220,6,3.275
bfs,ULDR,6,6,195,401,6,5.65
bfs,ULRD,6,6,115,242,6,3.533
dfs,DRLU,6,18,804592,804604,20,12092.94
dfs,DRUL,6,18,802868,802879,20,11961.512
dfs,LUDR,6,20,475099,475115,20,7044.202
dfs,LURD,6,20,72043,72056,20,1030.116
dfs,RDLU,6,18,167318,167331,20,2461.953
dfs,RDUL,6,18,161451,161466,20,2366.917
dfs,ULDR,6,20,598427,598440,20,9058.23
dfs,ULRD,6,16,37409,37419,20,525.243
astr,hamm,6,6,7,16,6,0.346
astr,manh,6,6,7,16,6,0.626
bfs,DRLU,6,6,300,650,6,8.861
bfs,DRUL,6,6,266,579,6,7.94
bfs,LUDR,6,6,213,453,6,6.337
bfs,LURD,6,6,219,468,6,6.684
bfs,RDLU,6,6,306,665,6,9.176
bfs,RDUL,6,6,272,594,6,8.142
bfs,ULDR,6,6,179,382,6,5.398
bfs,ULRD,6,6,185,397,6,5.553
dfs,DRLU,6,20,325984,326004,20,4904.724
dfs,DRUL,6,20,543903,543922,20,8096.796
dfs,LUDR,6,16,1711,1724,20,23.368
dfs,LURD,6,20,187931,187945,20,2756.531
dfs,RDLU,6,20,176458,176475,20,2619.091
dfs,RDUL,6,20,62062,62081,20,885.134
dfs,ULDR,6,20,334329,334341,20,4935.867
dfs,ULRD,6,18,276,291,20,4.223
astr,hamm,6,6,7,14,6,0.314
astr,manh,6,6,7,14,6,0.561
bfs,DRLU,6,6,234,496,6,6.846
bfs,DRUL,6,6,169,352,6,4.937
bfs,LUDR,6,6,211,448,6,6.232
bfs,LURD,6,6,212,451,6,6.501
bfs,RDLU,6,6,235,499,6,7.027
bfs,RDUL,6,6,170,355,6,4.982
bfs,ULDR,6,6,146,304,6,4.36
bfs,ULRD,6,6,147,307,6,4.385
dfs,DRLU,6,20,357857,357872,20,5338.333
dfs,DRUL,6,20,126,145,20,1.99
dfs,LUDR,6,20,107372,107385,20,1567.456
dfs,LURD,6,20,115022,115038,20,1658.737
dfs,RDLU,6,20,357860,357875,20,5281.371
dfs,RDUL,6,20,129,148,20,2.024
dfs,ULDR,6,20,78874,78887,20,1166.783
dfs,ULRD,6,20,73,88,20,1.239
astr,hamm,6,6,7,15,6,0.33
astr,manh,6,6,7,15,6,0.598
bfs,DRLU,6,6,165,339,6,4.787
bfs,DRUL,6,6,165,339,6,4.786
bfs,LUDR,6,6,178,369,6,5.256
bfs,LURD,6,6,134,282,6,4.226
bfs,RDLU,6,6,121,252,6,3.695
bfs,RDUL,6,6,121,252,6,3.771
bfs,ULDR,6,6,178,369,6,5.188
bfs,ULRD,6,6,134,282,6,4.072
dfs,DRLU,6,18,804426,804439,20,12006.166
dfs,DRUL,6,18,802702,802714,20,11881.43
dfs,LUDR,6,20,475069,475085,20,7097.187
dfs,LURD,6,20,139378,139389,20,2048.333
dfs,RDLU,6,20,167416,167431,20,2471.103
dfs,RDUL,6,20,161549,161566,20,2381.081
dfs,ULDR,6,20,598397,598410,20,8902.632
dfs,ULRD,6,20,36961,36975,20,520.721
astr,hamm,6,6,7,16,6,0.352
astr,manh,6,6,7,16,6,0.621
bfs,DRLU,6,6,230,483,6,6.686
bfs,DRUL,6,6,230,483,6,6.674
bfs,LUDR,6,6,163,342,6,4.828
bfs,LURD,6,6,151,320,6,4.765
bfs,RDLU,6,6,218,461,6,6.404
bfs,RDUL,6,6,218,461,6,6.748
bfs,ULDR,6,6,163,342,6,4.888
bfs,ULRD,6,6,151,320,6,4.577
dfs,DRLU,6,18,5435,5453,20,75.654
dfs,DRUL,6,18,49034,49051,20,711.757
dfs,LUDR,6,20,334677,334689,20,4987.15
dfs,LURD,6,16,702,715,20,9.847
dfs,RDLU,6,18,759506,759520,20,11405.181
dfs,RDUL,6,18,732939,732955,20,10685.399
dfs,ULDR,6,20,334299,334310,20,4914.816
dfs,ULRD,6,16,702,715,20,9.863
astr,hamm,6,6,7,15,6,0.331
astr,manh,6,6,7,15,6,0.591
bfs,DRLU,6,6,133,274,6,3.946
bfs,DRUL,6,6,133,274,6,3.926
bfs,LUDR,6,6,146,304,6,4.372
bfs,LURD,6,6,166,347,6,5.1
bfs,RDLU,6,6,153,317,6,4.748
bfs,RDUL,6,6,153,317,6,4.731
bfs,ULDR,6,6,146,304,6,4.339
bfs,ULRD,6,6,166,347,6,4.918
dfs,DRLU,6,20,191052,191068,20,2768.716
dfs,DRUL,6,20,189625,189641,20,2740.853
dfs,LUDR,6,20,36982,36995,20,530.252
dfs,LURD,6,20,598376,598390,20,8883.48
dfs,RDLU,6,20,531412,531426,20,7900.088
dfs,RDUL,6,20,482351,482368,20,7204.078
dfs,ULDR,6,20,139399,139409,20,2066.202
dfs,ULRD,6,20,475048,475065,20,7161.589
astr,hamm,6,6,7,16,6,0.345
astr,manh,6,6,7,16,6,0.629
bfs,DRLU,6,6,230,483,6,6.699
bfs,DRUL,6,6,230,483,6,6.664
bfs,LUDR,6,6,163,342,6,4.845
bfs,LURD,6,6,151,320,6,4.731
bfs,RDLU,6,6,218,461,6,6.922
bfs,RDUL,6,6,218,461,6,6.427
bfs,ULDR,6,6,163,342,6,4.836
bfs,ULRD,6,6,151,320,6,4.558
dfs,DRLU,6,18,866845,866860,20,12680.157
dfs,DRUL,6,18,860406,860421,20,12619.584
dfs,LUDR,6,16,1123,1135,20,15.527
dfs,LURD,6,18,293461,293473,20,4269.62
dfs,RDLU,6,20,49262,49280,20,714.17
dfs,RDUL,6,20,102070,102087,20,1482.368
dfs,ULDR,6,16,1123,1135,20,15.309
dfs,ULRD,6,18,293143,293155,20,4352.905
astr,hamm,6,6,7,17,6,0.362
astr,manh,6,6,7,17,6,0.65
bfs,DRLU,6,6,192,403,6,5.874
bfs,DRUL,6,6,192,403,6,5.625
bfs,LUDR,6,6,215,451,6,6.276
bfs,LURD,6,6,189,400,6,5.852
bfs,RDLU,6,6,166,352,6,5.765
bfs,RDUL,6,6,166,352,6,4.94
bfs,ULDR,6,6,215,451,6,6.273
bfs,ULRD,6,6,189,400,6,5.589
dfs,DRLU,6,18,866513,866529,20,12699.733
dfs,DRUL,6,18,860074,860090,20,12745.542
dfs,LUDR,6,20,209,225,20,3.373
dfs,LURD,6,20,293657,293670,20,4315.821
dfs,RDLU,6,20,29132,29150,20,407.571
dfs,RDUL,6,20,219,241,20,3.542
dfs,ULDR,6,20,209,225,20,3.325
dfs,ULRD,6,20,293339,293352,20,4307.554
astr,hamm,6,6,10,24,6,0.476
astr,manh,6,6,9,21,6,0.822
bfs,DRLU,6,6,254,543,6,7.447
bfs,DRUL,6,6,294,632,6,8.623
bfs,LUDR,6,6,190,412,6,5.731
bfs,LURD,6,6,191,415,6,6.041
bfs,RDLU,6,6,255,546,6,7.86
bfs,RDUL,6,6,295,635,6,8.755
bfs,ULDR,6,6,230,501,6,6.917
bfs,ULRD,6,6,231,504,6,6.961
dfs,DRLU,6,18,573,592,20,8.492
dfs,DRUL,6,18,358538,358554,20,5262.332
dfs,LUDR,6,20,238439,238457,20,3507.572
dfs,LURD,6,20,257316,257335,20,3814.0
dfs,RDLU,6,18,132208,132223,20,1956.668
dfs,RDUL,6,18,948,967,20,13.167
dfs,ULDR,6,20,543507,543522,20,8060.471
dfs,ULRD,6,20,325857,325876,20,4867.822
astr,hamm,6,6,7,17,6,0.358
astr,manh,6,6,7,17,6,0.644
bfs,DRLU,6,6,236,495,6,6.87
bfs,DRUL,6,6,194,407,6,5.684
bfs,LUDR,6,6,186,393,6,5.731
bfs,LURD,6,6,187,396,6,5.793
bfs,RDLU,6,6,237,498,6,7.14
bfs,RDUL,6,6,195,410,6,6.026
bfs,ULDR,6,6,144,305,6,4.38
bfs,ULRD,6,6,145,308,6,4.411
dfs,DRLU,6,20,250,269,20,4.04
dfs,DRUL,6,20,357780,357798,20,5269.221
dfs,LUDR,6,20,528968,528981,20,7804.66
dfs,LURD,6,20,324108,324120,20,4785.5
dfs,RDLU,6,20,253,272,20,3.926
dfs,RDUL,6,20,357783,357801,20,5220.437
dfs,ULDR,6,18,79067,79080,20,1176.506
dfs,ULRD,6,18,165,182,20,2.475
astr,hamm,6,6,7,14,6,0.315
astr,manh,6,6,7,14,6,0.567
bfs,DRLU,6,6,200,426,6,5.918
bfs,DRUL,6,6,200,426,6,5.905
bfs,LUDR,6,6,248,524,6,7.504
bfs,LURD,6,6,181,377,6,5.46
bfs,RDLU,6,6,133,279,6,4.175
bfs,RDUL,6,6,133,279,6,4.003
bfs,ULDR,6,6,248,524,6,7.24
bfs,ULRD,6,6,181,377,6,5.306
dfs,DRLU,6,18,5203,5220,20,71.985
dfs,DRUL,6,18,80572,80589,20,1177.71
dfs,LUDR,6,20,357879,357890,20,5313.957
dfs,LURD,6,20,145,161,20,2.212
dfs,RDLU,6,20,78855,78872,20,1158.4
dfs,RDUL,6,20,51,70,20,0.994
dfs,ULDR,6,20,357879,357890,20,5248.196
dfs,ULRD,6,20,145,161,20,2.201
astr,hamm,6,6,12,27,6,0.537
astr,manh,6,6,8,17,6,0.667
bfs,DRLU,6,6,202,431,6,6.026
bfs,DRUL,6,6,207,443,6,6.143
bfs,LUDR,6,6,314,678,6,9.584
bfs,LURD,6,6,278,604,6,8.35
bfs,RDLU,6,6,166,357,6,5.233
bfs,RDUL,6,6,171,369,6,5.176
bfs,ULDR,6,6,319,690,6,9.398
bfs,ULRD,6,6,283,616,6,8.431
dfs,DRLU,6,20,848,867,20,12.135
dfs,DRUL,6,20,187912,187929,20,2752.999
dfs,LUDR,6,20,326006,326022,20,4802.368
dfs,LURD,6,20,543922,543938,20,8018.925
dfs,RDLU,6,18,357726,357743,20,5281.119
dfs,RDUL,6,18,169,188,20,2.543
dfs,ULDR,6,20,176477,176490,20,2565.845
dfs,ULRD,6,20,43296,43313,20,603.848
astr,hamm,6,6,10,22,6,0.453
astr,manh,6,6,8,16,6,0.641
bfs,DRLU,6,6,184,379,6,5.28
bfs,DRUL,6,6,103,217,6,3.193
bfs,LUDR,6,6,198,407,6,5.905
bfs,LURD,6,6,196,404,6,5.702
bfs,RDLU,6,6,182,376,6,5.638
bfs,RDUL,6,6,101,214,6,3.473
bfs,ULDR,6,6,117,245,6,3.564
bfs,ULRD,6,6,115,242,6,3.539
dfs,DRLU,6,20,475083,475102,20,7082.775
dfs,DRUL,6,18,27775,27791,20,393.974
dfs,LUDR,6,20,1080507,1080518,20,16133.333
dfs,LURD,6,20,983179,983192,20,14611.887
dfs,RDLU,6,20,598408,598425,20,8994.895
dfs,RDUL,6,16,37039,37052,20,517.92
dfs,ULDR,6,20,237886,237900,20,3515.903
dfs,ULRD,6,20,225738,225753,20,3344.356
astr,hamm,6,6,7,15,6,0.337
astr,manh,6,6,7,15,6,0.597
bfs,DRLU,6,6,155,320,6,4.524
bfs,DRUL,6,6,155,320,6,4.541
bfs,LUDR,6,6,168,350,6,5.121
bfs,LURD,6,6,144,301,6,4.316
bfs,RDLU,6,6,131,271,6,4.182
bfs,RDUL,6,6,131,271,6,3.908
bfs,ULDR,6,6,168,350,6,5.016
bfs,ULRD,6,6,144,301,6,4.345
dfs,DRLU,6,20,500375,500391,20,7416.466
dfs,DRUL,6,20,567647,567662,20,8364.709
dfs,LUDR,6,20,475051,475067,20,7094.464
dfs,LURD,6,20,139396,139407,20,2034.118
dfs,RDLU,6,20,167434,167449,20,2475.907
dfs,RDUL,6,20,161567,161584,20,2362.511
dfs,ULDR,6,20,598379,598392,20,9019.794
dfs,ULRD,6,20,36979,36993,20,520.144
astr,hamm,6,6,7,16,6,0.351
astr,manh,6,6,7,16,6,0.618
bfs,DRLU,6,6,220,464,6,6.526
bfs,DRUL,6,6,220,464,6,6.426
bfs,LUDR,6,6,153,323,6,4.793
bfs,LURD,6,6,161,339,6,4.854
bfs,RDLU,6,6,228,480,6,7.009
bfs,RDUL,6,6,228,480,6,6.641
bfs,ULDR,6,6,153,323,6,4.631
bfs,ULRD,6,6,161,339,6,4.82
dfs,DRLU,6,18,5358,5376,20,74.599
dfs,DRUL,6,18,80727,80745,20,1195.664
dfs,LUDR,6,20,293142,293155,20,4281.0
dfs,LURD,6,16,1062,1075,20,14.543
dfs,RDLU,6,18,759583,759597,20,11418.656
dfs,RDUL,6,18,733016,733032,20,10694.726
dfs,ULDR,6,20,293460,293473,20,4300.118
dfs,ULRD,6,16,1062,1075,20,14.547
astr,hamm,6,6,7,15,6,0.327
astr,manh,6,6,7,15,6,0.592
bfs,DRLU,6,6,123,255,6,3.741
bfs,DRUL,6,6,123,255,6,3.691
bfs,LUDR,6,6,136,285,6,4.216
bfs,LURD,6,6,176,366,6,5.216
bfs,RDLU,6,6,163,336,6,5.179
bfs,RDUL,6,6,163,336,6,4.743
bfs,ULDR,6,6,136,285,6,4.082
bfs,ULRD,6,6,176,366,6,5.141
dfs,DRLU,6,20,191034,191050,20,2778.103
dfs,DRUL,6,20,189607,189623,20,2740.743
dfs,LUDR,6,20,36964,36977,20,517.893
dfs,LURD,6,20,598394,598408,20,8904.757
dfs,RDLU,6,18,701879,701890,20,10390.663
dfs,RDUL,6,18,670597,670611,20,9965.399
dfs,ULDR,6,20,139381,139391,20,2046.746
dfs,ULRD,6,20,475066,475083,20,7115.95
astr,hamm,6,6,7,16,6,0.345
astr,manh,6,6,7,16,6,0.617
bfs,DRLU,6,6,220,464,6,6.435
bfs,DRUL,6,6,220,464,6,6.433
bfs,LUDR,6,6,153,323,6,4.798
bfs,LURD,6,6,161,339,6,4.846
bfs,RDLU,6,6,228,480,6,6.889
bfs,RDUL,6,6,228,480,6,6.647
bfs,ULDR,6,6,153,323,6,4.632
bfs,ULRD,6,6,161,339,6,4.813
dfs,DRLU,6,20,237488,237506,20,3481.305
dfs,DRUL,6,20,260032,260048,20,3860.808
dfs,LUDR,6,16,763,775,20,10.632
dfs,LURD,6,20,312108,312118,20,4694.043
dfs,RDLU,6,14,49030,49043,20,711.328
dfs,RDUL,6,18,101995,102011,20,1507.733
dfs,ULDR,6,16,763,775,20,10.604
dfs,ULRD,6,20,305192,305205,20,4612.123
astr,hamm,6,6,7,17,6,0.368
astr,manh,6,6,7,17,6,0.66
bfs,DRLU,6,6,168,355,6,4.962
bfs,DRUL,6,6,168,355,6,4.98
bfs,LUDR,6,6,191,403,6,5.901
bfs,LURD,6,6,213,448,6,6.266
bfs,RDLU,6,6,190,400,6,5.689
bfs,RDUL,6,6,190,400,6,5.598
bfs,ULDR,6,6,191,403,6,5.667
bfs,ULRD,6,6,213,448,6,6.248
dfs,DRLU,6,20,222,243,20,3.555
dfs,DRUL,6,20,78958,78976,20,1145.86
dfs,LUDR,6,20,357772,357785,20,5251.166
dfs,LURD,6,20,206,223,20,3.428
dfs,RDLU,6,18,759251,759266,20,11372.152
dfs,RDUL,6,18,732684,732701,20,10771.318
dfs,ULDR,6,20,357772,357785,20,5233.934
dfs,ULRD,6,20,206,223,20,3.414
astr,hamm,6,6,7,17,6,0.361
astr,manh,6,6,7,17,6,0.648
