Method,Order,Puzzle_length,Solution_length,Visited_states,Calculated_states,Max_deep,Calculating_time
dfs,DRUL,3,17,168049,168065,20,2483.802
dfs,LUDR,3,17,592,606,20,8.371
dfs,LURD,3,19,104495,104510,20,1512.681
dfs,RDLU,3,3,4,8,3,0.128
dfs,RDUL,3,3,4,8,3,0.13
dfs,ULDR,3,19,168023,168036,20,2452.594
dfs,ULRD,3,19,121,137,20,1.895
astr,hamm,3,3,4,9,3,0.234
astr,manh,3,3,4,9,3,0.389
bfs,DRLU,3,3,18,37,3,0.562
bfs,DRUL,3,3,18,37,3,0.56
bfs,LUDR,3,3,32,65,3,0.938
bfs,LURD,3,3,33,68,3,1.004
bfs,RDLU,3,3,19,40,3,0.597
bfs,RDUL,3,3,19,40,3,0.615
bfs,ULDR,3,3,32,65,3,0.93
bfs,ULRD,3,3,33,68,3,0.968
dfs,DRLU,3,11,12,25,11,0.405
dfs,DRUL,3,11,167538,167549,20,2486.13
dfs,LUDR,3,17,531,546,20,7.59
dfs,LURD,3,19,137755,137770,20,2026.746
dfs,RDLU,3,19,167967,167985,20,2490.852
dfs,RDUL,3,19,89,109,20,1.515
dfs,ULDR,3,19,168011,168025,20,2482.012
dfs,ULRD,3,19,139,155,20,2.128
astr,hamm,3,3,4,9,3,0.233
astr,manh,3,3,4,9,3,0.396
bfs,DRLU,3,3,21,43,3,0.642
bfs,DRUL,3,3,21,43,3,0.638
bfs,LUDR,3,3,35,71,3,1.005
bfs,LURD,3,3,30,62,3,0.885
bfs,RDLU,3,3,16,34,3,0.527
bfs,RDUL,3,3,16,34,3,0.527
bfs,ULDR,3,3,35,71,3,1.006
bfs,ULRD,3,3,30,62,3,0.887
dfs,DRLU,3,19,95,114,20,1.635
dfs,DRUL,3,19,167973,167990,20,2486.289
dfs,LUDR,3,19,145,160,20,2.209
dfs,LURD,3,19,168005,168020,20,2458.526
dfs,RDLU,3,3,4,9,3,0.185
dfs,RDUL,3,3,4,9,3,0.194
dfs,ULDR,3,17,168264,168276,20,2455.965
dfs,ULRD,3,17,504,520,20,7.246
astr,hamm,3,3,4,8,3,0.217
astr,manh,3,3,4,8,3,0.363
bfs,DRLU,3,3,17,38,3,0.576
bfs,DRUL,3,3,13,28,3,0.442
bfs,LUDR,3,3,22,49,3,0.716
bfs,LURD,3,3,22,49,3,0.716
bfs,RDLU,3,3,17,38,3,0.574
bfs,RDUL,3,3,13,28,3,0.454
bfs,ULDR,3,3,18,39,3,0.587
bfs,ULRD,3,3,18,39,3,0.59
dfs,DRLU,3,9,10,19,9,0.335
dfs,DRUL,3,19,46229,46243,20,655.171
dfs,LUDR,3,17,575952,575960,20,8426.557
dfs,LURD,3,19,662292,662304,20,9795.705
dfs,RDLU,3,9,10,19,9,0.326
dfs,RDUL,3,19,437,452,20,6.552
dfs,ULDR,3,19,239581,239597,20,3509.109
